sample,TCGA-S9-A7J2-01
ENST00000548312.5,0.7300
ENST00000483781.5,7.1300
ENST00000535093.1,0.0000
ENST00000338863.11,59.4300
ENST00000570899.1,0.0000
ENST00000556831.5,0.6200
ENST00000625998.2,21.4000
ENST00000583693.5,8.0900
ENST00000580812.1,100.0000
ENST00000383738.6,2.7100
ENST00000012134.6,0.0000
ENST00000403263.5,89.5700
ENST00000627368.2,0.0000
ENST00000614486.4,0.3300
ENST00000583774.5,4.8200
ENST00000371059.7,11.9800
ENST00000582578.2,0.0000
ENST00000490980.1,0.0000
ENST00000542075.5,0.6800
ENST00000620128.4,0.0000
ENST00000583951.1,5.9300
ENST00000526030.1,0.2700
ENST00000377733.3,0.0000
ENST00000449352.6,16.5200
ENST00000597260.1,0.0000
ENST00000408075.1,0.0000
ENST00000527188.1,0.0000
ENST00000233092.10,13.2500
ENST00000591093.5,0.0000
ENST00000533241.1,0.4200
ENST00000563752.5,0.0000
ENST00000623597.3,0.0000
ENST00000539498.1,0.0900
ENST00000587148.2,0.0000
ENST00000326857.9,0.6500
ENST00000561039.1,100.0000
ENST00000486593.5,0.0000
ENST00000557620.2,0.0000
ENST00000485122.6,2.1200
ENST00000511336.5,0.0000
ENST00000413796.1,100.0000
ENST00000320152.10,75.0700
ENST00000593276.2,0.0000
ENST00000486061.1,8.5900
ENST00000622224.1,0.0000
ENST00000591464.5,1.1000
ENST00000628648.2,0.0000
ENST00000525903.1,0.0000
ENST00000491182.1,0.0000
ENST00000633730.1,42.9100
ENST00000564212.1,0.0000
ENST00000435623.1,0.0000
ENST00000460745.1,68.7400
ENST00000366544.5,9.3900
ENST00000309383.5,4.4400
ENST00000346219.7,20.2500
ENST00000462219.5,0.0000
ENST00000591332.5,0.0000
ENST00000557761.1,0.0000
ENST00000474637.5,3.4200
ENST00000461423.1,0.1700
ENST00000614681.1,0.0000
ENST00000444155.1,0.0000
ENST00000619139.1,0.0000
ENST00000456584.5,0.6100
ENST00000545493.1,0.2200
ENST00000541547.5,42.1000
ENST00000261037.7,85.8400
ENST00000456900.1,15.4200
ENST00000512221.2,0.0000
ENST00000566625.2,4.2000
ENST00000540112.1,4.1800
ENST00000240306.4,76.0000
ENST00000355509.5,0.0000
ENST00000630664.2,0.0000
ENST00000550431.1,53.8000
ENST00000477514.1,0.0000
ENST00000361710.6,0.0000
ENST00000614393.1,0.0000
ENST00000592454.1,0.0000
ENST00000543697.5,10.3200
ENST00000606574.1,0.0000
ENST00000497055.1,14.1600
ENST00000448513.1,0.0000
ENST00000531711.1,0.0000
ENST00000542774.5,2.8600
ENST00000553238.5,0.0000
ENST00000503349.1,0.0000
ENST00000564831.5,0.0000
ENST00000519813.1,0.0000
ENST00000598475.1,0.0000
ENST00000624202.1,0.0000
ENST00000299957.10,37.8300
ENST00000549119.1,0.0000
ENST00000520239.1,100.0000
ENST00000588267.5,27.6300
ENST00000622687.1,0.0000
ENST00000559407.1,71.0000
ENST00000408683.1,0.0000
ENST00000295962.8,74.8000
ENST00000351072.5,0.0000
ENST00000489665.1,18.6300
ENST00000508493.1,30.2300
ENST00000542455.2,0.0000
ENST00000400899.2,100.0000
ENST00000514569.1,0.0000
ENST00000489188.1,1.6700
ENST00000572954.1,25.4700
ENST00000614488.4,9.6100
ENST00000530665.1,4.1100
ENST00000476602.1,8.0300
ENST00000515882.1,0.0000
ENST00000457358.6,29.4500
ENST00000548432.5,0.5900
ENST00000424690.1,0.0000
ENST00000370458.5,7.9900
ENST00000486530.1,16.1800
ENST00000580712.1,0.0000
ENST00000578798.5,0.8000
ENST00000612473.1,0.0000
ENST00000482149.5,4.7900
ENST00000417753.5,0.0000
ENST00000463855.1,0.0000
ENST00000540012.5,0.0000
ENST00000470278.5,4.1000
ENST00000628476.1,6.9900
ENST00000585333.1,8.5900
ENST00000517436.5,0.0000
ENST00000555434.1,0.0000
ENST00000586195.5,10.1300
ENST00000375840.8,33.4400
ENST00000482407.1,4.0800
ENST00000523483.5,0.2400
ENST00000426660.1,0.0000
ENST00000521106.1,0.0000
ENST00000444816.1,0.0000
ENST00000566710.1,3.6900
ENST00000527022.1,0.0000
ENST00000311189.7,44.4700
ENST00000233809.8,38.7700
ENST00000448255.5,36.7600
ENST00000507707.1,100.0000
ENST00000367184.2,0.3200
ENST00000542989.5,0.0000
ENST00000338947.9,7.9000
ENST00000622936.1,100.0000
ENST00000593635.1,33.9100
ENST00000357884.8,8.2300
